sampleID	RpsJ	PsbJ	ComplexI_49KD	RpsG	DUF3172	AtpD	AtpA	PetB	LepA	CbbP
S0547	663.522012578613	1158.974358974354	1059.915611814329	961.5384615384734	1389.6940418679608	971.1934156378832	1240.264026402642	1342.5076452599526	1363.2336655592896	1287.6254180601904
S0548	34.59119496855345	20.51282051282051	32.06751054852319	29.91452991452991	46.69887278582931	47.32510288065842	57.42574257425731	76.45259938837931	54.81727574750835	52.39687848383503
S0549	795.5974842767251	712.8205128205117	861.6033755274135	756.4102564102628	864.7342995168975	652.9492455418424	958.4158415841861	1093.2721712538312	736.4341085271187	701.2263099219538
S0550	198.1132075471699	364.1025641025645	379.7468354430363	356.8376068376068	449.2753623188372	348.4224965706445	429.0429042904354	553.5168195718627	446.8438538205913	451.5050167224088
S0551	386.7924528301877	569.2307692307694	584.8101265822721	551.2820512820523	711.7552334943559	600.8230452674909	717.4917491749354	808.8685015290546	727.0210409745165	680.0445930880641
S0552	735.8490566037697	764.1025641025625	795.7805907172884	677.3504273504317	792.2705314009568	677.6406035665352	893.7293729373188	1074.9235474006198	688.8150609080722	756.9676700111372
S0553	440.2515723270426	799.9999999999981	759.4936708860656	596.1538461538483	1004.830917874383	708.5048010974012	897.6897689769229	1022.9357798165208	818.9368770763971	797.1014492753493
S0554	9.433962264150942	0	11.814345991561185	8.547008547008547	6.4412238325281805	5.486968449931412	17.161716171617158	10.703363914373089	19.93355481727574	12.263099219620962
S0555	1317.6100628930835	1502.5641025640944	1437.9746835442782	1653.8461538461838	1550.7246376811738	1334.0192043896193	1695.0495049504368	2111.6207951070633	1326.688815060944	1232.998885172785
S0556	883.6477987421332	958.9743589743556	1151.054852320656	1192.30769230771	1383.2528180354323	1184.4993141289794	1448.1848184818225	1506.1162079510875	1158.9147286821758	1158.3054626532717
S0557	6.289308176100628	0	4.219409282700422	4.273504273504273	11.272141706924316	6.1728395061728385	17.821782178217816	15.290519877675841	6.644518272425251	3.3444816053511706
S0558	1632.0754716981237	1384.6153846153775	1744.3037974683218	1728.6324786325106	1924.315619967828	1515.775034293608	2139.2739273926227	2354.740061162114	1554.817275747586	1375.6967670011093
S0559	301.8867924528299	441.02564102564156	391.5611814345972	318.37606837606836	510.46698872785385	423.18244170095824	470.62706270627865	501.5290519877641	507.75193798448805	468.2274247491647
S0560	25.15723270440251	5.128205128205128	27.004219409282687	32.05128205128205	25.764895330112722	37.03703703703705	45.544554455445464	30.581039755351682	39.86710963455148	31.215161649944246
S0561	2119.4968553459307	1928.2051282051161	2508.016877637081	2337.6068376068547	2529.790660225441	2200.274348422592	2918.151815181299	3451.070336391495	2052.0487264674985	2169.4537346711377
S0562	1166.6666666666642	1251.2820512820454	1614.3459915611518	1538.4615384615654	1858.2930756844107	1482.8532235940177	1994.0594059404964	2125.382262996972	1364.3410852713607	1479.375696767001
S0563	34.59119496855345	46.153846153846146	33.75527426160336	29.91452991452991	33.81642512077295	48.69684499314127	46.20462046204612	39.75535168195721	42.63565891472868	36.78929765886287
S0564	1817.6100628930974	1969.2307692307568	2154.4303797467937	2205.128205128233	2328.5024154589532	1829.9039780522	2480.528052805119	2805.810397553561	1817.829457364467	2010.0334448160816
S0565	1295.5974842767307	1225.64102564102	1687.7637130801374	1658.1196581196882	1911.433172302771	1658.4362139918333	2073.2673267325654	2443.425076452636	1379.8449612403558	1587.513935340028
S0566	72.32704402515725	97.43589743589739	56.5400843881857	66.23931623931624	78.90499194847021	65.15775034293546	85.14851485148496	131.49847094801245	88.59357696567015	81.3823857302119
S0567	160.3773584905661	138.46153846153842	167.93248945147693	155.98290598290598	181.9645732689211	110.42524005486948	151.1551155115508	212.5382262996946	128.46068660022178	154.9609810479378
S0568	471.6981132075455	728.2051282051269	867.510548523194	767.0940170940238	1122.3832528180271	816.1865569273116	1001.3201320132307	1061.1620795107112	950.1661129567929	691.1928651059008
S0569	0	0	0	2.1367521367521367	3.2206119162640903	2.7434842249657065	1.9801980198019802	4.587155963302752	2.2148394241417497	2.229654403567447
S0570	820.7547169811274	789.7435897435879	776.3713080168669	745.7264957265019	850.2415458937094	678.3264746227767	959.0759075907868	1091.7431192660636	697.674418604639	723.5228539576271
