genome	HepDI	HepDII	MpnS	PepM	PpdA	PpdH	isocitrase_lyase_like
SP106	0	0	1	1	1	1	0
SP173	0	0	0	1	1	1	0
SP21	0	0	0	1	1	1	0
SP23	0	0	0	2	2	2	0
SP23	0	0	0	2	2	2	0
SP248	0	0	0	1	0	1	0
SP25	0	0	0	1	1	0	0
SP253	0	1	4	6	0	5	0
SP253	0	1	4	6	0	5	0
SP253	0	1	4	6	0	5	0
SP253	0	1	4	6	0	5	0
SP253	0	1	4	6	0	5	0
SP253	0	1	4	6	0	5	0
SP257	0	0	0	1	0	1	0
SP265	0	0	0	1	0	0	0
SP276	0	0	0	1	1	0	0
SP283	0	0	0	1	1	1	0
SP2972	0	0	0	1	0	1	0
SP2986	0	0	0	1	0	0	0
SP3062	0	0	0	1	1	0	0
SP310	0	0	0	1	1	0	0
SP335	0	0	0	1	1	0	0
SP38	0	0	0	1	0	0	0
SP4044	0	0	0	1	0	1	0
SP4045	0	0	0	2	1	2	0
SP4045	0	0	0	2	1	2	0
SP48	0	0	0	1	1	0	0
specI-1007103	0	0	0	1	1	0	0
specI-1042163	0	0	0	1	1	0	0
specI-1045858	0	0	0	1	1	0	0
specI-1054217	0	0	0	1	1	0	0
specI-1082705	0	0	0	1	1	0	0
specI-1087481	0	0	0	1	1	0	0
specI-1094184	0	0	0	1	1	0	0
specI-1111479	0	0	0	1	1	0	0
specI-1112274	0	0	0	1	1	0	0
specI-1116472	0	0	0	1	1	0	0
specI-1117108	0	0	0	1	0	0	0
specI-1118054	0	0	0	1	1	0	0
specI-1121014	0	0	0	1	1	1	0
specI-1121104	0	0	0	1	1	1	0
specI-1121114	0	0	0	0	1	0	0
specI-1121121	0	0	0	1	1	0	0
specI-1121930	0	0	0	1	1	0	0
specI-1122211	0	0	0	1	1	1	0
specI-1122236	0	0	0	1	1	0	0
specI-1122927	0	0	0	1	1	0	0
specI-1123052	0	0	0	1	0	0	0
specI-1123250	0	0	0	1	1	0	0
specI-1123274	0	0	0	1	1	0	0
specI-1125699	0	0	0	1	1	0	0
specI-1125725	0	0	0	1	1	0	0
specI-1127695	0	0	0	1	1	0	0
specI-1131269	0	0	0	1	0	0	0
specI-1137268	0	0	0	0	1	0	0
specI-1141662	0	0	0	1	1	1	0
specI-1172562	0	0	0	1	0	1	0
specI-1192124	0	0	0	1	1	0	0
specI-1200557	0	0	0	1	1	0	0
specI-1200567	0	0	0	1	1	1	0
specI-1203602	0	0	0	1	1	0	0
specI-1217718	0	0	0	1	1	0	0
specI-1217720	0	0	0	1	1	0	0
